item_id,item_name,category,tags,description,rating,popularity_score
1,Neon Horizon,Movies,Sci-Fi|Action|Technology|AI,A rogue AI pilot fights to save a floating city from collapse.,4.6,91
2,Quiet Static,Movies,Drama|Mystery|Psychological,A sound engineer uncovers a conspiracy hidden in radio frequencies.,4.2,63
3,The Last Algorithm,Movies,Sci-Fi|Thriller|AI|Technology,An engineer races to stop a self-improving algorithm from escaping containment.,4.7,95
4,Crimson Tide Racing,Movies,Action|Sports|Adventure,Rival street racers battle for control of the coastal highways.,4.0,72
5,Whispers of Kyoto,Movies,Drama|Romance|Culture,Two strangers reconnect over seasons in a quiet Japanese town.,4.5,68
6,Galaxy Protocol,Movies,Sci-Fi|Space|Adventure|AI,A starship crew must negotiate with an alien intelligence to survive.,4.4,88
7,Iron Circuit,Movies,Action|Technology|Superhero,A disabled engineer builds an exosuit to protect her city.,4.3,84
8,The Silent Ledger,Movies,Thriller|Crime|Finance,A forensic accountant unravels a global money-laundering ring.,4.1,59
9,Paper Lanterns,Movies,Drama|Family|Romance,A grandmother's letters reveal a hidden wartime love story.,4.6,55
10,Deep Field,Movies,Sci-Fi|Space|Exploration,Astronauts discover an anomaly at the edge of the solar system.,4.5,80
11,Code Red Zero,Movies,Action|Cybersecurity|Thriller,A hacker must stop a cyberattack on critical infrastructure in real time.,4.3,77
12,Autumn in Prague,Movies,Romance|Drama|Travel,Two travelers find unexpected connection during a European gap year.,4.0,48
13,The Machine Learns,Movies,Sci-Fi|Drama|AI|Technology,A researcher forms an emotional bond with the AI she trained.,4.8,93
14,Bhangra Nights,Movies,Comedy|Music|Family,A wedding DJ tries to save his family's dance academy.,4.2,52
15,Orbital Decay,Movies,Sci-Fi|Thriller|Space,A damaged space station crew must survive reentry.,4.1,66
16,The Startup Wars,Movies,Drama|Business|Technology,Two co-founders battle over control of their unicorn startup.,3.9,61
17,Monsoon Diaries,Movies,Drama|Coming-of-Age,A teenager navigates identity during monsoon season in Kerala.,4.4,50
18,Firewall,Movies,Thriller|Cybersecurity|Action,A security analyst discovers she is the target of her own defense system.,4.2,70
19,Quantum Heist,Movies,Action|Sci-Fi|Heist,A crew uses quantum computing to pull off an impossible heist.,4.3,82
20,Sunset Over Lagos,Movies,Drama|Music|Culture,A struggling musician chases his big break in Lagos' Afrobeat scene.,4.5,58
21,Deep Learning Demystified,Books,AI|Technology|Programming|Data Science,A beginner-friendly walkthrough of neural networks and deep learning.,4.7,89
22,The Silent Algorithm,Books,AI|Fiction|Thriller,A novel about an AI that predicts crimes before they happen.,4.3,65
23,Atomic Focus,Books,Self-Help|Productivity|Psychology,Practical strategies for building deep focus in a distracted world.,4.5,80
24,Python for Everyone,Books,Programming|Technology|Education,A comprehensive guide to Python for absolute beginners.,4.6,92
25,Whispering Pines,Books,Fiction|Mystery|Drama,A small-town detective uncovers secrets buried for decades.,4.1,47
26,The Data Science Handbook,Books,Data Science|AI|Programming|Technology,Interviews and insights from leading data scientists.,4.4,74
27,Mindful Leadership,Books,Business|Self-Help|Psychology,How mindfulness practices improve executive decision-making.,4.2,55
28,Neural Networks from Scratch,Books,AI|Programming|Technology|Data Science,Build neural networks using only Python and NumPy.,4.8,87
29,Letters from the Void,Books,Fiction|Sci-Fi|Space,An astronaut's letters home during a decade-long deep space mission.,4.5,60
